Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,27.240,20000,Jardim América, 308 ,4,6,3
Apartamento,3.326,2350,Santana, 78 ,3,2,2
Apartamento,2.945,2500,Bela Vista, 35 ,1,1,1
Sobrado,9.273,8000,Jardim Franca, 450 ,4,5,5
Apartamento,2.622,2000,Consolação, 38 ,1,1,1
Apartamento,15.600,12000,Vila Madalena, 198 ,3,0,3
Apartamento,13.050,10000,Jardim Paulista, 210 ,3,5,1
Apartamento,4.765,2800,Perdizes, 119 ,3,3,2
Apartamento,930,600000,Centro, 32 ,1,1,0
Duplex,17.630,15000,Vila Nova Conceição, 121 ,1,2,2
Condomínio,27.100,23500,Cidade Jardim, 514 ,4,5,4
Sobrado,3.890,3500,Jardim São Paulo(zona Norte), 200 ,0,3,2
Apartamento,31.290,25000,Jardim Paulista, 365 ,4,6,2
Apartamento,6.182,4200,Santana, 100 ,3,3,3
Condomínio,25.954,21500,Alto Da Boa Vista, 554 ,4,6,2
Apartamento,4.406,3100,Moema, 83 ,2,2,1
Apartamento,1.850,1400,Bela Vista, 50 ,1,1,1
Apartamento,4.021,2000,Vila Madalena, 114 ,2,2,2
Apartamento,16.188,11000,Jardim Marajoara, 310 ,4,5,4
Apartamento,1.525,1300,Vila Prudente, 27 ,1,1,0
Sobrado,7.000,7000,Água Fria, 203 ,4,3,2
Apartamento,4.300,3200,Bela Vista, 156 ,3,3,1
Apartamento,2.330,1700,Santa Teresinha, 62 ,2,2,1
Apartamento,5.000,2650,Santana, 157 ,3,4,3
Apartamento,10.900,9000,Paraíso, 142 ,3,3,2
Apartamento,3.701,2100,Santana, 120 ,3,3,1
Apartamento,3.500,2600,Santa Terezinha, 55 ,2,2,1
Apartamento,2.697,1800,Santana, 70 ,2,2,1
Apartamento,4.871,4000,Bela Vista, 156 ,3,3,1
Apartamento,3.800,2500,Santana, 94 ,3,3,2
Apartamento,3.570,2500,Santana, 62 ,2,2,2
Salas,5.912,3360,Pinheiros, 80 ,0,2,1
Apartamento,96.808,75000,Vila Nova Conceição, 539 ,3,5,6
Sobrado,7.567,6500,Vila Ester (zona Norte), 450 ,4,6,4
Apartamento,10.689,8000,Higienópolis, 170 ,3,4,1
Apartamento,8.581,7300,Perdizes, 104 ,3,3,2
Apartamento,3.509,2500,Higienópolis, 45 ,1,1,1
